`09:33:18 | INFO     | Starting Steam daily crawler …
09:33:18 | INFO     | Known app count: 255182
09:33:18 | INFO     | Watchlist app count: 4
09:33:18 | INFO     | Detected 118 new app_ids. Fetching details …
09:33:19 | INFO     | Fetched details for 100/118 apps
09:33:19 | INFO     | Discovery summary: 118 apps processed, 34 released (filtered), 0 early-stage (watchlisted), 84 public unreleased, 0 minimal data
09:33:19 | INFO     | Exported 84 rows to /home/ec2-user/steam_scraper/exports/new_games_2025-07-05.csv
09:33:19 | INFO     | Sending email to 3 recipients
09:33:20 | INFO     | Email sent successfully to michaelwang970403@gmail.com (1/3)
09:33:24 | INFO     | Email sent successfully to rocky.yin@thatgamecompany.com (2/3)
09:33:27 | INFO     | Email sent successfully to lancy.zhan@thatgamecompany.com (3/3)
09:33:27 | INFO     | Email sending complete: 3 successful, 0 failed
09:33:27 | INFO     | Finished.
09:40:01 | INFO     | Starting Steam daily crawler …
09:40:01 | INFO     | Known app count: 255350
09:40:01 | INFO     | Watchlist app count: 5
09:40:01 | INFO     | Detected 59 new app_ids. Fetching details …
09:40:02 | INFO     | Discovery summary: 59 apps processed, 13 released (filtered), 0 early-stage (watchlisted), 46 public unreleased, 0 minimal data
09:40:02 | INFO     | Exported 46 rows to /home/ec2-user/steam_scraper/exports/new_games_2025-07-07.csv
09:40:02 | INFO     | Sending email to 3 recipients
09:40:03 | INFO     | Email sent successfully to michaelwang970403@gmail.com (1/3)
09:40:06 | INFO     | Email sent successfully to rocky.yin@thatgamecompany.com (2/3)
09:40:09 | INFO     | Email sent successfully to lancy.zhan@thatgamecompany.com (3/3)
09:40:09 | INFO     | Email sending complete: 3 successful, 0 failed
09:40:09 | INFO     | Finished.
09:40:02 | INFO     | Starting Steam daily crawler …
09:40:02 | INFO     | Known app count: 255182
09:40:02 | INFO     | Watchlist app count: 4
09:40:02 | INFO     | Detected 420 new app_ids. Fetching details …
09:40:03 | INFO     | Fetched details for 100/420 apps
09:40:03 | INFO     | Fetched details for 200/420 apps
09:40:03 | INFO     | Added app 2898940 to watchlist (early stage)
09:40:03 | INFO     | Added app 3564540 to watchlist (early stage)
09:40:03 | INFO     | Added app 3701770 to watchlist (early stage)
09:40:03 | INFO     | Added app 1133600 to watchlist (early stage)
09:40:03 | INFO     | Added app 3843110 to watchlist (early stage)
09:40:03 | INFO     | Added app 3830820 to watchlist (early stage)
