type,name,steam_appid,developers,publishers,header_image,website,categories,genres,steam_url
game,Soul Siege,3834920,mastie_studio,mastie_studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3834920/6d7450851cf12f65a47936f0b55c54ddc14dd938/header.jpg?t=1751466655,,Single-player;Family Sharing,Casual;Strategy,https://store.steampowered.com/app/3834920
game,Matchy Way Tales,3538040,Pavlo Nasonkin;Alexander Atiasov,Pavlo Nasonkin,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3538040/7e9198bc1df0c2d944cc0f769efe09392e5b055e/header.jpg?t=1751477627,,Single-player;Custom Volume Controls;Mouse Only Option;Family Sharing,Adventure;Casual;Indie,https://store.steampowered.com/app/3538040
demo,Important People of History: Presidents - Thomas Jefferson Demo,3721880,Sunny Demeanor Games,Sunny Demeanor Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3721880/e433d7b9eeb376a05c83236e1162c92d34ba2e64/header.jpg?t=1751467234,,Single-player;Game demo;Adjustable Text Size;Camera Comfort;Color Alternatives;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Touch Only Option,,https://store.steampowered.com/app/3721880
game,CASCADE,3749900,Silicon Souls,Silicon Souls,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3749900/0005060c06a5cb2478101c90ee34cb1dd41fa546/header.jpg?t=1751477520,https://cascade-game.com,Single-player;Family Sharing,Action;Indie,https://store.steampowered.com/app/3749900
game,Retro Racing 2,3739960,Mr Qwak,Mr Qwak,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3739960/093fd615ab47f2785c404c5d2da92a78ba57d662/header.jpg?t=1751473449,https://www.mrqwak.com/games/retro-racing-2/,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Shared/Split Screen;Full controller support;Keyboard Only Option;Playable without Timed Input;Steam Cloud;Steam Leaderboards;Family Sharing,Indie;Racing,https://store.steampowered.com/app/3739960
demo,Don't Break Demo,3848070,Blackbox Agency,Blackbox Agency,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3848070/c5e3eb47cfbb1eb69581c98d55b379a435f8c02d/header.jpg?t=1751481379,,Single-player;Game demo;Custom Volume Controls;Playable without Timed Input,,https://store.steampowered.com/app/3848070
game,Coco's Revenge,3350850,TBD,TBD,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3350850/ea0370fa216196b7ad80de2ecb4ed9a6264c5de5/header.jpg?t=1751481986,,Single-player;Steam Achievements;Full controller support;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3350850
game,Battle Babes 3,3783750,Recoil Mojo,Mojo Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3783750/f05377c846a6c903bc67b78c067419a180374ac0/header.jpg?t=1751481424,,Single-player;Steam Achievements;Family Sharing,Action;Casual;Indie;RPG;Simulation;Sports;Strategy,https://store.steampowered.com/app/3783750
game,Pawcision,3704910,3nvy,3nvy,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3704910/93572b6e4aee4bb191d059997acb1ac9ee0f7eac/header.jpg?t=1751479190,,Single-player;Steam Achievements;Full controller support;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Steam Leaderboards;Family Sharing,Casual;Indie,https://store.steampowered.com/app/3704910
game,Race of the Nine Worlds,3817560,Ouroboros Studio,Ouroboros Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3817560/624cf113a974432c6eaaae712ad93c3bc6dd7182/header.jpg?t=1751477601,,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Shared/Split Screen;Camera Comfort;Custom Volume Controls;Adjustable Difficulty;Keyboard Only Option;Stereo Sound;Surround Sound;Partial Controller Support;Remote Play Together;Family Sharing,Action;Adventure;Indie;Racing;Sports,https://store.steampowered.com/app/3817560
game,Pond,3849420,GameDevSpouse,PostHuman Interactive,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849420/37ca25875a85c84c90e8ee04950c31de1221c025/header.jpg?t=1751472973,https://posthumaninteractive.com/,Single-player;Custom Volume Controls;Adjustable Difficulty;Keyboard Only Option;Playable without Timed Input;Save Anytime;Steam Cloud;Family Sharing,Casual;Indie,https://store.steampowered.com/app/3849420
game,Soluna's Mood,3820630,Erochin,Erochin,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3820630/9fe0e3c609fb6d83d7c1a74d52888d75410c7d9f/header.jpg?t=1751474784,https://mynameisvoo.github.io/Soluna-s-Mood/,Single-player;Steam Achievements;Full controller support;Camera Comfort;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Subtitle Options;Steam Cloud;Stats,Casual;Indie;Simulation;Free To Play,https://store.steampowered.com/app/3820630
game,Escape Nine to Five,3817690,Room Zero Studios,Room Zero Studios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3817690/4fdf54cd1c1863a77b44b5d3901dce90ed93cd6a/header.jpg?t=1751472641,,Single-player;Steam Achievements;Custom Volume Controls;Narrated Game Menus;Stereo Sound;Surround Sound;Family Sharing,Action;Adventure;Casual;Simulation,https://store.steampowered.com/app/3817690
game,Valiants: Arena,3843120,Vortrius,Vortrius,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3843120/c3d991d4647bad71957c06052503f27acd2b6758/header.jpg?t=1751476108,https://playvaliants.com,Single-player;Multi-player;PvP;Online PvP;Cross-Platform Multiplayer;In-App Purchases;Mouse Only Option;Playable without Timed Input;Save Anytime;Touch Only Option,Casual;Indie;Strategy;Free To Play,https://store.steampowered.com/app/3843120
game,Bodies Left Behind,3838300,LaxieStudios,LaxieStudios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3838300/2de333cdc269fe222415946bed82a4d4dbff78e7/header.jpg?t=1751474753,https://laxiestudios.com/,Single-player;Full controller support;Camera Comfort;Custom Volume Controls;Stereo Sound;Subtitle Options;Family Sharing,Action;Indie,https://store.steampowered.com/app/3838300
game,Witch War 1,3849050,Nic Buzzanca,Nic Buzzanca,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849050/d91114153fe3ca0a53d28a206d74712a2da32578/header.jpg?t=1751468857,,Single-player;Multi-player;Co-op;Online Co-op;Custom Volume Controls;Playable without Timed Input;Save Anytime;Family Sharing,Action,https://store.steampowered.com/app/3849050
game,Hallway Gunners,3790560,Finbox Entertainment,Finbox Entertainment,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3790560/9903cd15616ff0dc446f7dbf3c9a1406ce55c43f/header.jpg?t=1751476915,,Single-player;In-App Purchases;Color Alternatives;Custom Volume Controls;Adjustable Difficulty;Playable without Timed Input,Action;Indie;Free To Play,https://store.steampowered.com/app/3790560
game,Echoes of Undeath,3770720,Walking Locker LLC;Walking Locker LLC,Walking Locker LLC,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3770720/0e0d97587fe4c7dc0b332091ed462d3dfa0ef44f/header.jpg?t=1751471848,,Single-player;Playable without Timed Input;Stereo Sound;Surround Sound;Steam Cloud;Family Sharing,Action;Adventure;Early Access,https://store.steampowered.com/app/3770720
game,You Suck At Football,3842740,Gorka Games,Gorka Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3842740/f40b429b7f5327e56a01f9e4f95a54dd5d0d6571/header.jpg?t=1751467771,https://www.gorkagames.com/,Single-player;Multi-player;Co-op;Online Co-op;Full controller support;Family Sharing,Action;Adventure,https://store.steampowered.com/app/3842740
game,Letters of War,3777000,Wood Cabin Games,Wood Cabin Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3777000/0588d609389a5d75b0754daa827a14091b76de09/header.jpg?t=1751480787,https://woodcabingames.com,Single-player;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3777000
dlc,Pavel Repin Presents #tacticalunderground,3427930,Pavel Repin,Repin Develop,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3427930/header.jpg?t=1751480549,,Single-player;Multi-player;PvP;Online PvP;LAN PvP;Shared/Split Screen PvP;Co-op;Online Co-op;LAN Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Downloadable Content;Full controller support;Includes level editor;Commentary available;Remote Play on Phone;Remote Play on Tablet;Remote Play on TV;Remote Play Together,Action;Massively Multiplayer;Simulation;Sports;Free To Play,https://store.steampowered.com/app/3427930
game,Necro-Matcher,1410040,Kyjor,Kyjor,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1410040/fb67dd99eada813c95a7582e376541cb288562a6/header.jpg?t=1751468791,,Single-player;Family Sharing,Action;Indie,https://store.steampowered.com/app/1410040
game,A Sleeping Soul,3847150,NextrStudio,NextrStudio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3847150/69c204e93dadeae523b3fb62822d012ac098a73a/header.jpg?t=1751481473,,Single-player;Full controller support;Camera Comfort;Playable without Timed Input;Stereo Sound;Subtitle Options;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3847150
demo,Crispy Kart Demo,3833060,LemonBow Studio,LemonBow Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3833060/06d90c097b4b5b08ac8a4a3673f5d44194064c49/header.jpg?t=1751471031,,Single-player;Game demo;Full controller support;Steam Cloud,Action;Adventure;Indie;Racing,https://store.steampowered.com/app/3833060
game,Terrible Life Expectancy,3579630,Super Mega Team,Super Mega Team,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3579630/156ab3c191cea6b8b7ba2fa10d935721982c1ef4/header.jpg?t=1751469825,http://www.supermegateam.com,Single-player;Full controller support;Family Sharing,Action;Indie;Early Access,https://store.steampowered.com/app/3579630
game,Geminum,3818870,Three Old Pals Inc,Three Old Pals Inc,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3818870/b0796aaed65c707d4a102c61bbef6dc04dc33407/header.jpg?t=1751473534,,Single-player;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3818870
game,Fatebound Cards: Sundering Cities,3844090,Lone Cuihua,Lone Cuihua,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3844090/564fce41d583849a98d915c3a5809ca019eab84c/header.jpg?t=1751476148,,Single-player;Multi-player;PvP;Online PvP;Family Sharing,Casual;Indie;Strategy,https://store.steampowered.com/app/3844090
game,A Lounge Somewhere,3832550,Emankcin,Emankcin,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3832550/7998f13855db87d3aee1b371a6d543ad0b5e0078/header.jpg?t=1751470326,,Single-player;Steam Achievements;Custom Volume Controls;Keyboard Only Option;Playable without Timed Input;Save Anytime;Stereo Sound;Steam Cloud;Family Sharing,Casual;Indie;RPG;Simulation,https://store.steampowered.com/app/3832550
game,Reincarnation Dungeon,3837930,BOBO,BOBO,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3837930/88414621a5102d2e7180805dd1491b8ed0c240ad/header.jpg?t=1751468219,,Single-player;Custom Volume Controls;Playable without Timed Input;Save Anytime;Family Sharing,Adventure;Indie;RPG,https://store.steampowered.com/app/3837930
dlc,Velvet Guard - Supporter Pack,3845490,Pongu Games,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3845490/cae397aa6602e71227ffcb779ec1f51063a1911e/header.jpg?t=1751470120,,Multi-player;PvP;Shared/Split Screen PvP;Shared/Split Screen;Downloadable Content;Full controller support;Steam Workshop;Includes level editor;Remote Play on TV;Remote Play Together;Family Sharing,Action;Casual;Indie,https://store.steampowered.com/app/3845490
game,Space Hitchhiker Stop,3804400,La Popi <3,La Popi <3,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3804400/a3c0ccca4dea2af63e53ea1d3b106e6090596601/header.jpg?t=1751472067,https://github.com/Alexandru191919/Space-Hitchhiker-Stop-.Source-Code.,Single-player;Mouse Only Option;Playable without Timed Input;Touch Only Option,Simulation;Free To Play,https://store.steampowered.com/app/3804400
