type,name,steam_appid,developers,publishers,header_image,website,categories,genres,steam_url,detection_stage,api_response_type,discovery_date
game,The Dreamcatcher,3826190,WorkingOrders,WorkingOrders,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3826190/a02ed0aeded0fa8365af13a48a69846d1b8d0fa4/header.jpg?t=1751903101,,Single-player;Keyboard Only Option;Playable without Timed Input;Partial Controller Support,Adventure;Casual;Free To Play,https://store.steampowered.com/app/3826190,public_unreleased,full_details,2025-07-07
game,The Calling,3830400,BuriedCandy,BuriedCandy,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3830400/f15d30d38af883f3b5a226d760a15316f430f338/header.jpg?t=1751904378,https://thecalling.buriedcandy.com,Single-player;Multi-player;PvP;Online PvP;LAN PvP;Co-op;Online Co-op;LAN Co-op;Cross-Platform Multiplayer;Full controller support;Captions available;Family Sharing,Action;Indie;Free To Play,https://store.steampowered.com/app/3830400,public_unreleased,full_details,2025-07-07
game,Stock Fighter,3796760,McTeddy Games,C Plus Productions,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3796760/086fc726ef931441cd0fc35533ba5837c4fb0efc/header.jpg?t=1751902797,,Single-player;Multi-player;PvP;Online PvP;Custom Volume Controls;Adjustable Difficulty;Mouse Only Option;Family Sharing,Action;Indie;Simulation;Strategy,https://store.steampowered.com/app/3796760,public_unreleased,full_details,2025-07-07
game,Goofy Golfette,3828880,Tiba Studio,Tiba Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3828880/81ccf2b9f55ddf75b6efaaa9a0406ae5065ed8f2/header.jpg?t=1751873656,,Multi-player;PvP;Online PvP;LAN PvP;Shared/Split Screen PvP;Shared/Split Screen;Full controller support;Remote Play Together;Family Sharing,Action;Casual;Racing,https://store.steampowered.com/app/3828880,public_unreleased,full_details,2025-07-07
game,DDD - Drone Drop Dash,3776910,Yosul Studio,Yosul Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3776910/100eeeb9a56075328ad53c3f93fe0affaf3bda8a/header.jpg?t=1751872071,,Single-player,Casual;Free To Play,https://store.steampowered.com/app/3776910,public_unreleased,full_details,2025-07-07
game,Death Frame,3204110,EpiXR Games UG,EpiXR Games UG,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3204110/3ec8b1a10e058ff42db16f9fa8855cf2fc118433/header.jpg?t=1751872580,https://www.epixrgames.com/,Single-player;Steam Achievements;Full controller support;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Surround Sound;Family Sharing,Action;Adventure;Indie;Simulation,https://store.steampowered.com/app/3204110,public_unreleased,full_details,2025-07-07
game,Warlords Battleground: Extraction,3684500,绝汪,绝汪,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3684500/1a99716f56c11ca9809c4256bf59ac61380dc3b0/header.jpg?t=1751873913,,Single-player;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3684500,public_unreleased,full_details,2025-07-07
game,JuMi Local Intelligent Assistant,3838130,JuMi Customer Service,JuMi Customer Service,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3838130/90bc581d0a77e141d2889497450472c921888e7d/header.jpg?t=1751855600,,,Accounting;Education;Web Publishing,https://store.steampowered.com/app/3838130,public_unreleased,full_details,2025-07-07
game,Keyboard Simulator,3679380,Arbothonas,Arbothonas,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3679380/c543f501269fa5f585bb6b59b7b12d88c5243b7b/header.jpg?t=1751897312,,Single-player;Steam Achievements;Custom Volume Controls;Adjustable Difficulty;Keyboard Only Option;Mouse Only Option;Playable without Timed Input;Save Anytime;Stereo Sound;Steam Cloud;Stats;Family Sharing,Action;Casual;Indie;RPG;Simulation,https://store.steampowered.com/app/3679380,public_unreleased,full_details,2025-07-07
game,Fear Below Zero,3847850,corsgames,corsgames,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3847850/ed639a4df0b71542f8dd158dc8f05b2174e8dd69/header.jpg?t=1751881842,https://corsgames.com,Single-player;Steam Achievements;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Steam Cloud;Family Sharing,Action,https://store.steampowered.com/app/3847850,public_unreleased,full_details,2025-07-07
game,Hop Drop,3777690,Goon Squad,Goon Squad,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3777690/d2b41548480d35703174eaa7cc7c34dfdfeb1a83/header.jpg?t=1751900441,,Single-player;Steam Achievements;Full controller support;Camera Comfort;Color Alternatives;Custom Volume Controls;Playable without Timed Input;Steam Cloud;Family Sharing,Action;Indie;Racing,https://store.steampowered.com/app/3777690,public_unreleased,full_details,2025-07-07
game,Dark Runes: Forbidden Origin,3676190,暴风雨,暴风雨,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3676190/a2947f50708e5fb4cbdadffc8200f4926ed6f68e/header.jpg?t=1751848559,,Single-player;Multi-player;Co-op;LAN Co-op;Steam Achievements;Camera Comfort;Custom Volume Controls;Keyboard Only Option;Save Anytime;Steam Cloud;Stats;Steam Leaderboards;Family Sharing,Action;Adventure;RPG,https://store.steampowered.com/app/3676190,public_unreleased,full_details,2025-07-07
game,Buzz Wars,2703770,DrunkenTurnip,DrunkenTurnip,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2703770/3bcbfcb6e07c34bd0b95e9c3606e2ad7af688cf4/header.jpg?t=1751904535,,Single-player;Multi-player;PvP;Online PvP;Family Sharing,Action;Indie;Strategy,https://store.steampowered.com/app/2703770,public_unreleased,full_details,2025-07-07
demo,A fascinating story 2 Demo,3850660,L&P,Lovely Games Hentai Club;Lovely Games ,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3850660/d3bb5aaeb9fabe1c55de360510f1b0267aac379b/header.jpg?t=1751852962,https://lovelygames.xyz/,Single-player;Game demo;Custom Volume Controls;Playable without Timed Input;Stereo Sound,,https://store.steampowered.com/app/3850660,public_unreleased,full_details,2025-07-07
game,Seven Squad,3828910,Baxter Games Studio,Baxter Games Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3828910/1cf82c2618e55304abb9354779586642ac1bab13/header.jpg?t=1751880079,https://baxtermncl.com,Single-player;Custom Volume Controls;Playable without Timed Input;Family Sharing,Action;Casual;Indie;Strategy,https://store.steampowered.com/app/3828910,public_unreleased,full_details,2025-07-07
game,Musical Instrument Simulator,3844030,HoneyEatBees,HoneyEatBees,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3844030/c00b6be0abf037d0ea83fe3728a4faf15ba1ff54/header.jpg?t=1751901456,,Includes level editor,Audio Production;Design & Illustration;Education;Utilities,https://store.steampowered.com/app/3844030,public_unreleased,full_details,2025-07-07
game,SENSE: The Game,3832650,IPOleksenko,IPOleksenko,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3832650/369bdda2b246d0690a4d8d91466f06d2ff11dce8/header.jpg?t=1751901619,,Single-player;Family Sharing,Casual;Indie,https://store.steampowered.com/app/3832650,public_unreleased,full_details,2025-07-07
game,Full Contact,3785410,8-Ball Games,8-Ball Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3785410/b7901104b803e0ba7c35990977b902941625c4a4/header.jpg?t=1751879749,,Multi-player;PvP;Shared/Split Screen PvP;Shared/Split Screen;Full controller support;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Remote Play Together,Action;Free To Play,https://store.steampowered.com/app/3785410,public_unreleased,full_details,2025-07-07
game,Demon Lord's Career Change,3734100,"Digital Entertainment Co., Ltd",Nutaku Publishing,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3734100/8a56d843518cb37fa5b1a348b13784f72e853ffc/header.jpg?t=1751879934,,Single-player;Multi-player;In-App Purchases;Partial Controller Support,Action;Adventure;Casual;Free To Play,https://store.steampowered.com/app/3734100,public_unreleased,full_details,2025-07-07
game,Pulsebreaker,3851600,Anthony David Valles,Anthony David Valles,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3851600/d179f67006d4e9820104404be100c2fc8d7d4bc4/header.jpg?t=1751901628,,Single-player;Full controller support;Family Sharing,Indie,https://store.steampowered.com/app/3851600,public_unreleased,full_details,2025-07-07
demo,BishoujoTennis,3850840,DoroGame,DoroGame,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3850840/61479ef83d6d2624f4c25935295bd6f7f726e4ee/header.jpg?t=1751867051,,Single-player;Game demo,,https://store.steampowered.com/app/3850840,public_unreleased,full_details,2025-07-07
game,Scraps - Hellmouth Creek,3806810,Polias Games,Polias Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3806810/7d59e6ee468753dee88f7c7b1b55c5e5644438f6/header.jpg?t=1751840859,,Single-player;Family Sharing,Indie,https://store.steampowered.com/app/3806810,public_unreleased,full_details,2025-07-07
game,Terra Factoria,3760980,Murray Smith,Murray Smith,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3760980/ac44196191d0726068a45e60cdd23846227f9636/header.jpg?t=1751897130,https://discord.gg/9AFxdgsEUJ,Single-player;Full controller support;Adjustable Text Size;Camera Comfort;Color Alternatives;Custom Volume Controls;Keyboard Only Option;Mouse Only Option;Playable without Timed Input;Save Anytime;Subtitle Options;Touch Only Option;Family Sharing,Casual;Strategy,https://store.steampowered.com/app/3760980,public_unreleased,full_details,2025-07-07
music,GINKA Soundtrack,3808560,Frontwing,Frontwing USA;Bushiroad Inc.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3808560/0c0a4659b40d956fd81c9d82ca81c3ba04c7c4a8/header.jpg?t=1751860838,http://ginka.frontwing.jp/,Additional High-Quality Audio,,https://store.steampowered.com/app/3808560,public_unreleased,full_details,2025-07-07
game,Touhou Kouzougi　～ Flickerframe Shutter Festival,3829880,Ryann Thierry,Ryann Thierry,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3829880/97d4d775b167b1764dc23a369010477b09dc2b4e/header.jpg?t=1751899866,,Single-player;Full controller support;Custom Volume Controls;Keyboard Only Option;Stereo Sound;Steam Cloud;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3829880,public_unreleased,full_details,2025-07-07
game,Hide and Sink,3817020,Hell0 Dirtty Games,Hell0 Dirtty Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3817020/da0dd598b41125d671b2b5c3ae2c31229a0937f2/header.jpg?t=1751862361,,Single-player;Family Sharing,Adventure;Casual;Indie,https://store.steampowered.com/app/3817020,public_unreleased,full_details,2025-07-07
game,Telepathic,3736030,il-lit-studio,il-lit-studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3736030/80108fb326e29efedc5030fd29ac6a5ed8306d26/header.jpg?t=1751898907,,Single-player;Family Sharing,Adventure;Casual;Indie,https://store.steampowered.com/app/3736030,public_unreleased,full_details,2025-07-07
game,Basilica,3627220,ToadLore,Toadlore,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3627220/6d854b9e1839609371872b753c13ab07fdb2051f/header.jpg?t=1751903425,,Single-player;Multi-player;Co-op;Online Co-op;LAN Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Adjustable Text Size;Custom Volume Controls;Adjustable Difficulty;Playable without Timed Input;Save Anytime;Subtitle Options;Remote Play Together;Family Sharing,Action;Adventure;RPG,https://store.steampowered.com/app/3627220,public_unreleased,full_details,2025-07-07
game,Tanks!,3769940,C&K Games,C&K Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3769940/1d382cc4c62fc7e91101498dafc106dcda71a986/header.jpg?t=1751853937,,Single-player;Multi-player;PvP;Online PvP;LAN PvP;Co-op;Online Co-op;LAN Co-op;Steam Achievements;Camera Comfort;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Partial Controller Support;Steam Cloud,Action;Indie;Strategy;Free To Play,https://store.steampowered.com/app/3769940,public_unreleased,full_details,2025-07-07
