﻿type,name,steam_appid,developers,publishers,website,categories,genres,steam_url,detection_stage,api_response_type,potential_duplicate,release_date,description,supported_languages,followers,wishlists_est,wishlist_rank,discovery_date
game,Recycling Shift,3899920,Rogue Duck Interactive,Rogue Duck Interactive,https://rogueduck.net,Single-player;Steam Achievements;Custom Volume Controls;Adjustable Difficulty;Mouse Only Option;Playable without Timed Input;Save Anytime;Steam Cloud;Steam Leaderboards;Remote Play Together;Family Sharing,Casual;Indie;Simulation;Strategy,https://store.steampowered.com/app/3899920,public_unreleased,full_details,False,Coming soon,"Work at a recycling facility! In this tactile cozy job simulator, sort discarded items into categories, process them into raw material and sell valuable items for money. Could be trash or treasure! Upgrade your workflow, sort and process efficiently.","*;, French;*;, German;*;, Spanish - Spain;*;, Japanese;*;, Korean;*;, Polish;*;, Portuguese - Brazil;*;, Portuguese - Portugal;*;, Russian;*;, Simplified Chinese;*;, Spanish - Latin America;*;, Traditional Chinese;*;, Turkish;*;*",,,,2025-08-22
game,Pillar of Salt,3900000,Dead Hand Games,Dead Hand Games,https://deadhand.games/pillar-of-salt,Single-player;Camera Comfort;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Family Sharing,RPG,https://store.steampowered.com/app/3900000,public_unreleased,full_details,False,Q4 2025,The deity of this world has decided to destroy it in three days. His avatar awaits the world's champion at the top of the Mountain of Power. Can you build up your strength in time and reach the mountain in this unique real-time tactical roguelike RPG?,English,,,,2025-08-22
game,Stickman Mayhem,3965610,BP Systems,BP Systems,,Single-player;Steam Achievements;Full controller support;Steam Leaderboards;Family Sharing,Action;Indie,https://store.steampowered.com/app/3965610,public_unreleased,full_details,False,To be announced,"Stickman Mayhem: Flashy fights, crazy combos, and bosses in pure comic mayhem!",English;French;Italian;German;Spanish - Spain,,,,2025-08-22
game,"10,000",2130670,Mercy Software,Mercy Software,,Single-player;Full controller support;Custom Volume Controls;Keyboard Only Option;Playable without Timed Input;Stereo Sound,Casual;Indie;Strategy;Free To Play,https://store.steampowered.com/app/2130670,public_unreleased,full_details,False,To be announced,"Accelerate endlessly, dodge relentless blocks, and push your reflexes to the limit. Every 10K distance unlocks a tougher round—faster, harder, deadlier. No luck, just pure skill. How far can you survive?",English,,,,2025-08-22
game,Turbo Carnage,3932930,Haylaz Games,Haylaz Games,,Single-player;Multi-player;Co-op;Online Co-op;Custom Volume Controls;Stereo Sound;Family Sharing,Action,https://store.steampowered.com/app/3932930,public_unreleased,full_details,False,Q4 2025,"Turbo Carnage is a fast‑paced arena survival game. Smash through clowns with deadly vehicles, fire high‑powered weapons, and call airstrikes. Play solo or join friends in online co‑op against endless, escalating waves.","*;, Spanish - Spain;*;, Simplified Chinese;*;, Turkish;*;*",,,,2025-08-22
game,Pushed a 'Bot!,3965810,N-height,N-height,,Single-player,Casual;Indie;Simulation;Free To Play,https://store.steampowered.com/app/3965810,public_unreleased,full_details,False,Coming soon,"""Pushed a 'Bot!"" is a coin-operated game! The classic coin-pushing mode makes dopamine surge!",Simplified Chinese,,,,2025-08-22
game,Uncommon App,3834820,Uncommon Studio,Shepherd Games,,Single-player,Casual;Indie;RPG;Simulation;Free To Play,https://store.steampowered.com/app/3834820,public_unreleased,full_details,False,To be announced,"Uncommon App is a narrative-driven simulation game where you play as an admissions officer balancing academic merit, magical ability, and finances. Review diverse student profiles, conduct interactive interviews, and make impactful decisions that shape the school’s future.",*;*,,,,2025-08-22
game,Perfore the perforien request,3900360,Triolet noire,Triolet noire,https://discord.gg/98eMw493qt,Single-player;Adjustable Difficulty;Keyboard Only Option;Playable without Timed Input;Save Anytime;Steam Cloud;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3900360,public_unreleased,full_details,False,Coming soon,"Carolanne Marin, Princess of Prodo, is invited to Berlo, the capital of Birini and the great capital of Perfore, to see the Perforian in person for a request.",English;French,,,,2025-08-22
unknown,Early Stage App (ID: 3965910),3965910,,,,,,https://store.steampowered.com/app/3965910,early_stage,error,False,未知,,,,,,2025-08-22
game,Coin Hunters,3867620,Eternal Sparks Studio,Eternal Sparks Studio,https://eternal-sparks.com/,Single-player;Family Sharing,Adventure;Simulation;Strategy,https://store.steampowered.com/app/3867620,public_unreleased,full_details,False,Coming soon,"""Coin Hunters"" throws you into a wild mix of real-time Coin Pushing and Turn-based Dungeon Battle! Collect the drops, unleash powered skills, and crush bosses with your unique heroes. Let's dive into the fast-paced and strategic advantures full of hype and loot!",English;Simplified Chinese;Traditional Chinese,,,,2025-08-22
game,Foxel,3867640,Eddy Games,Eddy Games,,,Indie;Racing;Simulation;Animation & Modeling;Design & Illustration;Education;Game Development;Early Access,https://store.steampowered.com/app/3867640,public_unreleased,full_details,False,To be announced,"Voxel-Based Car Sculpting – Carve your vehicle out of a solid block using intuitive 2D and 3D editing tools. Real Physics Simulation – Your design affects speed, handling, and stability — mass placement matters. Test or share – Race your creations on tracks or just share your creativity.",English,,,,2025-08-22
unknown,Early Stage App (ID: 3933190),3933190,,,,,,https://store.steampowered.com/app/3933190,early_stage,error,False,未知,,,,,,2025-08-22
dlc,Deluge: Sermon for the Dead — Mei Ending Route,3933160,leaves,socah,https://www.socah.org/leaves/,Single-player;Downloadable Content;Steam Achievements;Camera Comfort;Color Alternatives;Custom Volume Controls;Keyboard Only Option;Mouse Only Option;Narrated Game Menus;Playable without Timed Input;Save Anytime;Touch Only Option;Partial Controller Support;Steam Cloud,Adventure;Indie;Simulation;Free To Play,https://store.steampowered.com/app/3933160,public_unreleased,full_details,False,September 2025,Ending Route DLC chapter for Mei's character route.,"*;, Russian;*;, Japanese;*;, Simplified Chinese;*;, Spanish - Spain;*;, Spanish - Latin America;*;*",,,,2025-08-22
unknown,Early Stage App (ID: 3671070),3671070,,,,,,https://store.steampowered.com/app/3671070,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3867680),3867680,,,,,,https://store.steampowered.com/app/3867680,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3867690),3867690,,,,,,https://store.steampowered.com/app/3867690,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671080),3671080,,,,,,https://store.steampowered.com/app/3671080,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933230),3933230,,,,,,https://store.steampowered.com/app/3933230,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671090),3671090,,,,,,https://store.steampowered.com/app/3671090,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3900460),3900460,,,,,,https://store.steampowered.com/app/3900460,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966010),3966010,,,,,,https://store.steampowered.com/app/3966010,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671100),3671100,,,,,,https://store.steampowered.com/app/3671100,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966030),3966030,,,,,,https://store.steampowered.com/app/3966030,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671110),3671110,,,,,,https://store.steampowered.com/app/3671110,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671120),3671120,,,,,,https://store.steampowered.com/app/3671120,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671130),3671130,,,,,,https://store.steampowered.com/app/3671130,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3900520),3900520,,,,,,https://store.steampowered.com/app/3900520,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671150),3671150,,,,,,https://store.steampowered.com/app/3671150,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671160),3671160,,,,,,https://store.steampowered.com/app/3671160,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671170),3671170,,,,,,https://store.steampowered.com/app/3671170,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671180),3671180,,,,,,https://store.steampowered.com/app/3671180,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966100),3966100,,,,,,https://store.steampowered.com/app/3966100,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3867800),3867800,,,,,,https://store.steampowered.com/app/3867800,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3048600),3048600,,,,,,https://store.steampowered.com/app/3048600,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671190),3671190,,,,,,https://store.steampowered.com/app/3671190,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671200),3671200,,,,,,https://store.steampowered.com/app/3671200,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3900580),3900580,,,,,,https://store.steampowered.com/app/3900580,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671210),3671210,,,,,,https://store.steampowered.com/app/3671210,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933360),3933360,,,,,,https://store.steampowered.com/app/3933360,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966130),3966130,,,,,,https://store.steampowered.com/app/3966130,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671220),3671220,,,,,,https://store.steampowered.com/app/3671220,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3540150),3540150,,,,,,https://store.steampowered.com/app/3540150,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671230),3671230,,,,,,https://store.steampowered.com/app/3671230,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933370),3933370,,,,,,https://store.steampowered.com/app/3933370,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3900610),3900610,,,,,,https://store.steampowered.com/app/3900610,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3081410),3081410,,,,,,https://store.steampowered.com/app/3081410,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671240),3671240,,,,,,https://store.steampowered.com/app/3671240,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671250),3671250,,,,,,https://store.steampowered.com/app/3671250,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671260),3671260,,,,,,https://store.steampowered.com/app/3671260,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966170),3966170,,,,,,https://store.steampowered.com/app/3966170,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933410),3933410,,,,,,https://store.steampowered.com/app/3933410,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671270),3671270,,,,,,https://store.steampowered.com/app/3671270,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671280),3671280,,,,,,https://store.steampowered.com/app/3671280,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671290),3671290,,,,,,https://store.steampowered.com/app/3671290,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3867900),3867900,,,,,,https://store.steampowered.com/app/3867900,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3867910),3867910,,,,,,https://store.steampowered.com/app/3867910,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3671300),3671300,,,,,,https://store.steampowered.com/app/3671300,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3835150),3835150,,,,,,https://store.steampowered.com/app/3835150,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3704100),3704100,,,,,,https://store.steampowered.com/app/3704100,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3769640),3769640,,,,,,https://store.steampowered.com/app/3769640,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3867970),3867970,,,,,,https://store.steampowered.com/app/3867970,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3867980),3867980,,,,,,https://store.steampowered.com/app/3867980,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3278180),3278180,,,,,,https://store.steampowered.com/app/3278180,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933580),3933580,,,,,,https://store.steampowered.com/app/3933580,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3868060),3868060,,,,,,https://store.steampowered.com/app/3868060,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3835300),3835300,,,,,,https://store.steampowered.com/app/3835300,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3868080),3868080,,,,,,https://store.steampowered.com/app/3868080,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966400),3966400,,,,,,https://store.steampowered.com/app/3966400,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933640),3933640,,,,,,https://store.steampowered.com/app/3933640,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3900910),3900910,,,,,,https://store.steampowered.com/app/3900910,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933660),3933660,,,,,,https://store.steampowered.com/app/3933660,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933680),3933680,,,,,,https://store.steampowered.com/app/3933680,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933690),3933690,,,,,,https://store.steampowered.com/app/3933690,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966460),3966460,,,,,,https://store.steampowered.com/app/3966460,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3900930),3900930,,,,,,https://store.steampowered.com/app/3900930,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 1607210),1607210,,,,,,https://store.steampowered.com/app/1607210,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933740),3933740,,,,,,https://store.steampowered.com/app/3933740,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3868210),3868210,,,,,,https://store.steampowered.com/app/3868210,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3900990),3900990,,,,,,https://store.steampowered.com/app/3900990,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3802680),3802680,,,,,,https://store.steampowered.com/app/3802680,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933770),3933770,,,,,,https://store.steampowered.com/app/3933770,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3802710),3802710,,,,,,https://store.steampowered.com/app/3802710,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 2131550),2131550,,,,,,https://store.steampowered.com/app/2131550,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3835510),3835510,,,,,,https://store.steampowered.com/app/3835510,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933830),3933830,,,,,,https://store.steampowered.com/app/3933830,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 2524850),2524850,,,,,,https://store.steampowered.com/app/2524850,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 1869500),1869500,,,,,,https://store.steampowered.com/app/1869500,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933910),3933910,,,,,,https://store.steampowered.com/app/3933910,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966680),3966680,,,,,,https://store.steampowered.com/app/3966680,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933920),3933920,,,,,,https://store.steampowered.com/app/3933920,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3049190),3049190,,,,,,https://store.steampowered.com/app/3049190,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3770090),3770090,,,,,,https://store.steampowered.com/app/3770090,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933940),3933940,,,,,,https://store.steampowered.com/app/3933940,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 329490),329490,,,,,,https://store.steampowered.com/app/329490,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3933970),3933970,,,,,,https://store.steampowered.com/app/3933970,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 2721560),2721560,,,,,,https://store.steampowered.com/app/2721560,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3835690),3835690,,,,,,https://store.steampowered.com/app/3835690,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3770160),3770160,,,,,,https://store.steampowered.com/app/3770160,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966800),3966800,,,,,,https://store.steampowered.com/app/3966800,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3835740),3835740,,,,,,https://store.steampowered.com/app/3835740,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 2393950),2393950,,,,,,https://store.steampowered.com/app/2393950,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966820),3966820,,,,,,https://store.steampowered.com/app/3966820,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3770280),3770280,,,,,,https://store.steampowered.com/app/3770280,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3868600),3868600,,,,,,https://store.steampowered.com/app/3868600,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3704770),3704770,,,,,,https://store.steampowered.com/app/3704770,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3377120),3377120,,,,,,https://store.steampowered.com/app/3377120,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3934170),3934170,,,,,,https://store.steampowered.com/app/3934170,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3934180),3934180,,,,,,https://store.steampowered.com/app/3934180,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966950),3966950,,,,,,https://store.steampowered.com/app/3966950,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3377130),3377130,,,,,,https://store.steampowered.com/app/3377130,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3868660),3868660,,,,,,https://store.steampowered.com/app/3868660,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3934210),3934210,,,,,,https://store.steampowered.com/app/3934210,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3966980),3966980,,,,,,https://store.steampowered.com/app/3966980,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3836020),3836020,,,,,,https://store.steampowered.com/app/3836020,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 2984070),2984070,,,,,,https://store.steampowered.com/app/2984070,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3803350),3803350,,,,,,https://store.steampowered.com/app/3803350,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3934450),3934450,,,,,,https://store.steampowered.com/app/3934450,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3901690),3901690,,,,,,https://store.steampowered.com/app/3901690,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3868930),3868930,,,,,,https://store.steampowered.com/app/3868930,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3967240),3967240,,,,,,https://store.steampowered.com/app/3967240,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3901730),3901730,,,,,,https://store.steampowered.com/app/3901730,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3901740),3901740,,,,,,https://store.steampowered.com/app/3901740,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3279160),3279160,,,,,,https://store.steampowered.com/app/3279160,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3639610),3639610,,,,,,https://store.steampowered.com/app/3639610,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3279180),3279180,,,,,,https://store.steampowered.com/app/3279180,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3934540),3934540,,,,,,https://store.steampowered.com/app/3934540,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3803470),3803470,,,,,,https://store.steampowered.com/app/3803470,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3377490),3377490,,,,,,https://store.steampowered.com/app/3377490,early_stage,error,False,未知,,,,,,2025-08-22
unknown,Early Stage App (ID: 3803480),3803480,,,,,,https://store.steampowered.com/app/3803480,early_stage,error,False,未知,,,,,,2025-08-22
